rank,inep_code,school,state,city,school_type,location,students,ch,cn,lc,mt,rd,average_exam
6334,43071570,ESC EST ENS MED JACOB HOFF,Rio Grande do Sul,Harmonia,Estadual,Urbana,23,506.73,495.07,531.31,560.57,542.61,527.26
6335,33065284,CE IGNACIO AZEVEDO DO AMARAL,Rio de Janeiro,Rio de Janeiro,Estadual,Urbana,110,519.38,464.99,538.81,502.75,610.36,527.26
6336,41124022,MARIA L F PACHECO C E PROFA EF M,Paraná,Balsa Nova,Estadual,Urbana,20,522.69,463.54,526.07,529.98,594,527.26
6337,41087607,JOSE DE ALENCAR C E EM,Paraná,Nova Prata do Iguaçu,Estadual,Urbana,81,523.09,483.44,521.97,507.97,599.75,527.24
6338,21021015,CENTRO DE ENSINO MANOEL BECKMAN,Maranhão,São Luís,Estadual,Urbana,182,511.68,471.99,527.77,507.47,617.25,527.23
6339,35023103,JOSE VICENTE MACHADO NETTO DR,São Paulo,Pedregulho,Estadual,Urbana,29,502.53,473.86,521.87,530.97,606.9,527.22
6340,31114863,EE DOM JOAO VI,Minas Gerais,Alpinópolis,Estadual,Urbana,43,500.49,480.78,511.91,525.73,617.21,527.22
6341,35107591,ELLEN G WHITE ADVENTISTA COLEGIO,São Paulo,São Paulo,Privada,Urbana,42,524.12,466.55,533.24,520.75,591.43,527.22
6342,31173762,EE NOSSA SENHORA APARECIDA,Minas Gerais,Passa Quatro,Estadual,Urbana,19,506.79,471.64,526.89,537.01,593.68,527.2
6343,53005015,CEM 01 DE BRAZLANDIA,Distrito Federal,Brasília,Estadual,Urbana,216,508.41,479.59,530.67,522.33,595,527.2
6344,31258971,EE ABRE CAMPO,Minas Gerais,Abre Campo,Estadual,Urbana,46,512.15,479.27,522.74,541.82,580,527.2
6345,31194123,EE CONEGO LUIZ VIEIRA DA SILVA,Minas Gerais,Ouro Branco,Estadual,Urbana,61,515.95,479.03,524.17,516.12,600.66,527.19
6346,35019872,GETULIO NOGUEIRA DE SA PROFESSOR,São Paulo,Jundiaí,Estadual,Urbana,15,535.95,475.17,537.88,537.59,549.33,527.18
6347,35150198,PRESBITERIANO DE GUARULHOS COLEGIO,São Paulo,Guarulhos,Privada,Urbana,14,511.86,477.01,541.86,532.23,572.86,527.16
6348,41131495,NEWTON F DA COSTA C E EF M,Paraná,Curitiba,Estadual,Urbana,36,532.83,482.79,532.65,531.19,556.11,527.12
6349,35901076,CARLOTA FERNANDES DE SOUZA RODINI,São Paulo,Araras,Estadual,Urbana,32,503.51,483.58,522.1,547.62,578.75,527.11
6350,43121594,ESC EST ENS MED SANTA CRUZ,Rio Grande do Sul,Santa Cruz do Sul,Estadual,Urbana,63,518.03,468.72,535.2,539.58,573.97,527.1
6351,33113238,CEP CENTRO EDUCACIONAL PIRAQUARA,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,10,532.15,481.88,518.04,527.42,576,527.1
6352,26135465,INSTITUTO SANTA TEREZA,Pernambuco,Olinda,Privada,Urbana,16,513.2,487.61,525.9,522.52,586.25,527.1
6353,35010397,VICENTE THEMUDO LESSA PROFESSOR,São Paulo,Jandira,Estadual,Urbana,76,516.39,474.2,526.5,519.7,598.68,527.09
6354,31034312,EE DOUTOR JOSE GONCALVES,Minas Gerais,Martinho Campos,Estadual,Urbana,28,498.53,460.42,526.19,545.24,605,527.08
6355,28043405,COLEGIO EL SHADDAY,Sergipe,São Cristóvão,Privada,Urbana,10,480.25,466.98,528.72,509.36,650,527.06
6356,32043490,EEEFM ANGELICA PAIXAO,Espirito Santo,Guarapari,Estadual,Urbana,164,507.81,475.45,523.4,531.43,597.2,527.06
6357,33023212,CE EMILIA ROSCHEMANT,Rio de Janeiro,Nova Friburgo,Estadual,Urbana,27,511.51,466.69,539.33,513.28,604.44,527.05
6358,33102791,CENTRO FAMILIAR DE FORMACAO POR ALTERNANCIA COLEGIO ESTADUAL AGRICOLA REI ALBERTO I,Rio de Janeiro,Nova Friburgo,Estadual,Rural,14,511.68,483.74,511.81,515.13,612.86,527.04
