rank,inep_code,school,state,city,school_type,location,students,ch,cn,lc,mt,rd,average_exam
1,23246847,FARIAS BRITO COLEGIO DE APLICACAO,Ceará,Fortaleza,Privada,Urbana,35,692.85,674.5,652.24,845.89,935.43,760.18
2,23246871,ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO,Ceará,Fortaleza,Privada,Urbana,33,695.67,676.34,652.91,836.65,915.15,755.34
3,31350664,COLEGIO BERNOULLI,Minas Gerais,Belo Horizonte,Privada,Urbana,280,681.58,668.2,634.47,823.8,906.64,742.94
4,35399197,OBJETIVO COLEGIO INTEGRADO,São Paulo,São Paulo,Privada,Urbana,53,677.45,682.9,638.72,836.11,868.68,740.77
5,31349720,FIBONACCI COLEGIO,Minas Gerais,Ipatinga,Privada,Urbana,57,666.41,657.87,630.84,809.55,938.95,740.72
6,31351725,COLEGUIUM,Minas Gerais,Belo Horizonte,Privada,Urbana,33,676.18,646.74,631.78,817.78,926.67,739.83
7,31004812,COLEGIO SANTO ANTONIO,Minas Gerais,Belo Horizonte,Privada,Urbana,142,665.88,658.94,625.22,830.47,893.38,734.78
8,31128074,COL DE APLICACAO DA UFV - COLUNI,Minas Gerais,Viçosa,Federal,Urbana,153,674.53,647.35,619.84,807.24,916.47,733.09
9,35463279,VITAL BRAZIL COLEGIO,São Paulo,São Paulo,Privada,Urbana,54,665.11,656.84,623.58,787.05,917.04,729.92
10,35141240,VERTICE COLEGIO UNIDADE II,São Paulo,São Paulo,Privada,Urbana,43,674.52,657.56,629.4,785.75,894.42,728.33
11,22025740,INSTITUTO DOM BARRETO,Piauí,Teresina,Privada,Urbana,152,653.2,648.84,626.7,836.14,874.34,727.84
12,23246880,CHRISTUS COLEGIO PRE UNIVERSITARIO,Ceará,Fortaleza,Privada,Urbana,65,664.82,660,626.8,801.18,883.38,727.24
13,33135827,COLEGIO E CURSO PENSI,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,31,658.8,645.99,619.74,783.69,920.65,725.77
14,26124297,COLEGIO DE APLICACAO DO CE DA UFPE,Pernambuco,Recife,Federal,Urbana,52,670.56,632.19,633.13,802.33,890,725.64
15,23235543,ARI DE SA CAVALCANTE COLEGIO - MAJOR FACUNDO,Ceará,Fortaleza,Privada,Urbana,30,677.13,649.87,626.57,798.02,873.33,724.98
16,35154775,ESCOLA VILLARE,São Paulo,São Caetano do Sul,Privada,Urbana,33,652.18,645.08,616.88,827.53,883.03,724.94
17,32040032,CE LEONARDO DA VINCI,Espirito Santo,Vitória,Privada,Urbana,56,655.23,641.83,623.9,789.89,907.86,723.74
18,23564121,ANTARES COLEGIO PRE VESTIBULAR,Ceará,Fortaleza,Privada,Urbana,33,646.84,647.05,618.54,793.81,903.64,721.98
19,31004031,COLEGIO SANTA MARCELINA,Minas Gerais,Belo Horizonte,Privada,Urbana,36,655.09,623.04,620.72,788.25,922.22,721.87
20,24097004,COLEGIO CIENCIAS APLICADAS,Rio Grande do Norte,Natal,Privada,Urbana,52,656.41,652.15,622.21,768.82,909.62,721.84
21,23272333,FARIAS BRITO COLEGIO PRE-VESTIBULAR CENTRAL,Ceará,Fortaleza,Privada,Urbana,61,649.21,636.21,618.87,806.72,896.72,721.55
22,33040516,COLEGIO IPIRANGA,Rio de Janeiro,Petrópolis,Privada,Urbana,27,655.66,633.59,619.04,814.72,879.26,720.45
23,33178879,COLEGIO ALFA CEM BILINGUE,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,13,646.41,621.19,617.39,798.65,918.46,720.42
24,33062633,COL DE SAO BENTO,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,45,676.73,631.62,618.65,790.36,882.22,719.92
25,35290804,ESCOLA SEB UNIDADE ALVARES CABRAL,São Paulo,Ribeirão Preto,Privada,Urbana,54,652.29,650.23,621.79,780.28,894.44,719.81
26,23076208,PROVECTO COLEGIO,Ceará,Fortaleza,Privada,Urbana,13,650.62,633.59,621.15,797.46,892.31,719.02
27,53013085,COL PODION,Distrito Federal,Brasília,Privada,Urbana,92,649.28,645.83,619.01,795.93,879.57,717.92
28,31004731,COLEGIO MAGNUM AGOSTINIANO NOVA FLORESTA,Minas Gerais,Belo Horizonte,Privada,Urbana,141,671.23,636.78,620.42,781.62,878.3,717.67
29,22129529,CEV COLEGIO UNIDADE JOCKEY,Piauí,Teresina,Privada,Urbana,39,652.57,629.54,625.54,771.42,906.15,717.05
30,35165347,MOBILE COLEGIO,São Paulo,São Paulo,Privada,Urbana,101,660.51,620.88,631.15,785.66,885.74,716.79
31,52068986,COLEGIO WR,Goiás,Goiânia,Privada,Urbana,237,653.99,647.08,619.29,775,888.52,716.78
32,22022481,ANBEAS - COLEGIO SAGRADO CORACAO DE JESUS,Piauí,Teresina,Privada,Urbana,65,647.83,619.8,618.93,768.56,927.08,716.44
33,15167275,SISTEMA DE ENSINO EQUIPE INTEGRADO EIRELI - EPP,Pará,Belém,Privada,Urbana,46,661.52,625.47,623.8,760.92,910.43,716.43
34,31004651,COLEGIO SANTO AGOSTINHO,Minas Gerais,Belo Horizonte,Privada,Urbana,237,662.36,624.89,624.86,787.31,880.68,716.02
35,22141693,COLEGIO OBJETIVO DIF,Piauí,Teresina,Privada,Urbana,35,650.73,636.34,622.49,772,897.71,715.85
36,22022406,COLEGIO LEROTE LTDA,Piauí,Teresina,Privada,Urbana,35,651.15,649.3,619.23,787.64,867.43,714.95
37,43121926,UFSM - COLEGIO POLITECNICO,Rio Grande do Sul,Santa Maria,Federal,Urbana,22,650.33,627.48,627.91,778.07,889.09,714.58
38,33145237,COLEGIO SAO JOAO BATISTA NOVA FRIBURGO,Rio de Janeiro,Nova Friburgo,Privada,Urbana,24,648.63,618.02,617.99,767.24,920.83,714.54
39,32040075,COLEGIO SAGRADO CORACAO DE MARIA,Espirito Santo,Vitória,Privada,Urbana,16,633.81,624.64,621.68,762.28,923.75,713.23
40,35286187,ETAPA COLEGIO,São Paulo,Valinhos,Privada,Urbana,95,652.74,654.24,619.37,781.96,847.58,711.18
41,29467764,COLEGIO BERNOULLI,Bahia,Salvador,Privada,Urbana,47,663.49,642.33,625.86,760.66,862.55,710.98
42,33064628,COLEGIO TTH BAR-ILAN,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,11,643.27,601.94,602.64,764.42,938.18,710.09
43,33178860,ESCOLA ELEVA,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,60,663.07,608.65,624.73,778.25,875.67,710.07
44,35301279,COLEGIO ANGLO LEONARDO DA VINCI - UNIDADE GRANJA VIANA,São Paulo,Carapicuíba,Privada,Urbana,23,658.26,633.67,620.14,782.03,853.91,709.6
45,26534711,COLEGIO COGNITIVO,Pernambuco,Recife,Privada,Urbana,107,655.66,625.98,617.63,773.69,871.21,708.83
46,33135371,COLEGIO CRUZEIRO - JACAREPAGUA,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,99,641.86,617.41,620.46,750.24,913.13,708.62
47,35126974,OBJETIVO INTEGRADO DE MOGI DAS CRUZES COLEGIO,São Paulo,Mogi das Cruzes,Privada,Urbana,50,643.96,645.16,617.37,772.84,856,707.07
48,33176825,COLEGIO SANTO AGOSTINHO - UNIDADE INSTITUTO CULTURAL SANTO AGOSTINHO,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,146,649.59,609.9,619.29,759.77,896.3,706.97
49,50027956,COLEGIO HARMONIA,Mato Grosso do Sul,Campo Grande,Privada,Urbana,12,645.33,622.13,627.07,756.2,880,706.15
50,31333921,COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA,Minas Gerais,Nova Lima,Privada,Urbana,66,656.81,619.06,614.94,768.38,871.52,706.14
51,35135288,COLEGIO ANGLO LEONARDO DA VINCI - UNIDADE I - OSASCO,São Paulo,Osasco,Privada,Urbana,56,653.72,620.3,619.16,755.81,879.64,705.73
52,35112513,PROGRESSO CAMPINEIRO COLEGIO,São Paulo,Campinas,Privada,Urbana,28,662.29,622.26,619.1,764.66,860,705.66
53,33062609,COLEGIO CRUZEIRO-CENTRO,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,80,649.9,612.66,612.8,774.82,868,703.64
54,52096785,COLEGIO OLIMPO,Goiás,Goiânia,Privada,Urbana,39,639.77,633.24,612.36,748.14,884.1,703.52
55,31260908,COL IMPULSO,Minas Gerais,Sete Lagoas,Privada,Urbana,62,650.5,615.92,611.61,743.05,896.13,703.44
56,29437261,COLEGIO ACESSO,Bahia,Feira de Santana,Privada,Urbana,47,643.52,615.63,623.27,742.65,890.64,703.14
57,50032100,COLEGIO BIONATUS II,Mato Grosso do Sul,Campo Grande,Privada,Urbana,45,641.2,631.39,615.14,756.56,869.33,702.73
58,35563006,ETAPA III COLEGIO,São Paulo,São Paulo,Privada,Urbana,58,640.61,641.52,612.04,793.02,825.17,702.47
59,52020517,COLEGIO GALILEU,Goiás,Anápolis,Privada,Urbana,35,627.29,616.63,602.39,739.33,922.86,701.7
60,33165920,COLEGIO E CURSO PENSI,Rio de Janeiro,Niterói,Privada,Urbana,24,654.29,607.61,608.19,715.91,921.67,701.53
61,23245573,MASTER COLEGIO,Ceará,Fortaleza,Privada,Urbana,45,627.88,614.47,595.47,766.97,902.67,701.49
62,35141586,UIRAPURU COLEGIO,São Paulo,Sorocaba,Privada,Urbana,55,639.39,624.45,614.24,776.16,852.73,701.39
63,35805555,EMBRAER JUAREZ WANDERLEY COLEGIO,São Paulo,São José dos Campos,Privada,Urbana,199,649.29,612.93,615.31,742.81,885.03,701.07
64,31014061,COLEGIO SANTO AGOSTINHO-UNIDADE CONTAGEM,Minas Gerais,Contagem,Privada,Urbana,52,635.02,601.38,613.22,751.06,904.62,701.06
65,24069191,CENTRO DE EDUCACAO INTEGRADA S A - ROMUALDO,Rio Grande do Norte,Natal,Privada,Urbana,95,646.81,619.99,611.96,740.93,884,700.74
66,31245976,CENTRO EDUCACIONAL FREI SERAFICO,Minas Gerais,São João Del Rei,Privada,Urbana,27,638.82,601.31,608.29,765.02,888.89,700.47
67,31193216,ESCOLA EDUCACAO CRIATIVA,Minas Gerais,Ipatinga,Privada,Urbana,96,613.88,607.86,598.17,742.93,936.04,699.78
68,35173186,LICEU JARDIM,São Paulo,Santo André,Privada,Urbana,117,652.86,623.43,616.04,754.15,851.62,699.62
69,22023658,EDUCANDARIO SANTA MARIA GORETTI,Piauí,Teresina,Privada,Urbana,40,633.86,621.28,621.77,763.2,855,699.02
70,53056000,COL OLIMPO,Distrito Federal,Brasília,Privada,Urbana,95,644.46,638.12,613.99,757.05,840.84,698.89
71,31357081,ESCOLA SESI RINALDO CAMPOS SOARES,Minas Gerais,Ipatinga,Privada,Urbana,23,637.4,615.53,600.06,722.92,916.52,698.49
72,17056446,COLEGIO OLIMPO PALMAS INTEGRAL,Tocantins,Palmas,Privada,Urbana,83,631.22,616.75,618.35,729.57,895.18,698.21
73,35143406,AUGUSTO LARANJA COLEGIO UNIDADE I,São Paulo,São Paulo,Privada,Urbana,20,650.53,604.5,611.17,739.51,885,698.14
74,31006394,COLEGIO MARISTA DOM SILVERIO,Minas Gerais,Belo Horizonte,Privada,Urbana,75,649.81,610.24,617.25,745.06,867.73,698.02
75,23272430,ARI DE SA CAVALCANTE SEDE ALDEOTA COLEGIO,Ceará,Fortaleza,Privada,Urbana,149,635.02,617.5,613.57,775.1,847.52,697.74
76,33085846,ESC BRETANHA JD INFANCIA TIO CARECA,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,13,626.85,602.48,605.18,739.86,913.85,697.64
77,29342880,COLEGIO HELYOS,Bahia,Feira de Santana,Privada,Urbana,22,655.42,636.1,619.22,750.6,825.45,697.36
78,31006238,COLEGIO LOYOLA,Minas Gerais,Belo Horizonte,Privada,Urbana,131,648.39,598.82,612.68,749.4,877.1,697.28
79,31334049,COLEGIO CAETANO,Minas Gerais,Sete Lagoas,Privada,Urbana,15,637.13,618.58,600.05,759.08,869.33,696.83
80,32041152,ESCOLA SAO DOMINGOS,Espirito Santo,Vitória,Privada,Urbana,48,636.45,619.42,604.31,752.3,870.42,696.58
81,33157901,COLEGIO PH,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,28,632.16,615.98,611.04,742.99,880.71,696.58
82,33064040,ESCOLA ISRAELITA BRASILEIRA ELIEZER STEINBARG MAX NORDAU,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,18,650.27,596.75,611.43,735.49,888.89,696.57
83,22164219,ESCOLA POPULAR MADRE MARIA VILLAC,Piauí,Teresina,Privada,Urbana,26,620.56,617.69,595.19,738.45,910.77,696.53
84,33065403,COLEGIO SANTO AGOSTINHO,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,98,651.81,604.65,622.26,749.48,853.67,696.37
85,43173845,ESCOLA DE ENSINO MEDIO RIACHUELO,Rio Grande do Sul,Santa Maria,Privada,Urbana,17,637.81,612.01,598.13,756.68,874.12,695.75
86,24350303,CENTRO DE EDUCACAO INTEGRADA MAIS LTDA,Rio Grande do Norte,Natal,Privada,Urbana,25,623.56,610.52,601.89,754.73,885.6,695.26
87,33057206,INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO,Rio de Janeiro,Niterói,Privada,Urbana,81,637.1,589.61,611.17,740.69,897.28,695.17
88,23077557,7 DE SETEMBRO COLEGIO - EBS,Ceará,Fortaleza,Privada,Urbana,77,633.67,607.49,601.28,750.5,882.08,695
89,35579403,COLEGIO ELITECOL,São Paulo,Campinas,Privada,Urbana,34,654.99,633.17,613.85,772.89,798.82,694.74
90,25120298,CENTRO PESSOENSE DE EDUCACAO - COLEGIO MOTIVA,Paraíba,João Pessoa,Privada,Urbana,199,638.88,620.14,606.35,745.68,861.71,694.55
91,35136931,AGOSTINIANO MENDEL COLEGIO,São Paulo,São Paulo,Privada,Urbana,187,639.27,628.11,609.09,778.9,816.58,694.39
92,33104220,RECANTO INF IMACULADA CONCEICAO,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,55,633.3,607.33,595.14,738.69,897.09,694.31
93,23276606,7 DE SETEMBRO COLEGIO - EGS,Ceará,Fortaleza,Privada,Urbana,89,631.1,605.41,599.74,760.24,874.61,694.22
94,35186806,UIRAPURU CENTRO EDUCACIONAL,São Paulo,Sorocaba,Privada,Urbana,13,626.1,610.15,608,767.79,856.92,693.79
95,33173990,COLEGIO DE A A Z - UNIDADE TIJUCA,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,52,633.58,601.21,615.5,735.65,882.31,693.65
96,32038178,CENTRO EDUCACIONAL CHARLES DARWIN,Espirito Santo,Vila Velha,Privada,Urbana,64,634.34,608.13,602.86,749.68,871.88,693.38
97,31291030,COLEGIO MILITAR DE BELO HORIZONTE,Minas Gerais,Belo Horizonte,Federal,Urbana,63,646.46,614.82,622.93,763.7,816.83,692.95
98,31074373,COLEGIO SANTA CATARINA,Minas Gerais,Juiz de Fora,Privada,Urbana,123,634.7,614.73,606.09,722.81,885.53,692.77
99,33087679,COLEGIO SANTO AGOSTINHO - UNIDADE NOVO LEBLON,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,11,631.3,610.58,600.66,723.02,898.18,692.75
100,35134806,ETAPA COLEGIO DE EFM,São Paulo,São Paulo,Privada,Urbana,333,636.45,631.77,609.82,766.17,819.22,692.68
101,50030590,COLEGIO LUMIERE,Mato Grosso do Sul,Dourados,Privada,Urbana,22,636.33,622.27,615.49,749.25,840,692.67
102,21293600,ESCOLA CRESCIMENTO,Maranhão,São Luís,Privada,Urbana,17,641.22,599,605.46,771.08,844.71,692.3
103,25117963,CENTRO CAMPINENSE DE EDUCACAO LTDA COLEGIO MOTIVA,Paraíba,Campina Grande,Privada,Urbana,150,633.57,609.97,603.66,734.53,879.73,692.29
104,31184349,COLEGIO LOSANGO DE UBA,Minas Gerais,UbÁ,Privada,Urbana,53,635.33,617.91,604.69,737.93,864.91,692.15
105,52097676,COLEGIO SIMBIOS,Goiás,Goiânia,Privada,Urbana,178,617.23,614.56,605.78,732.82,889.78,692.03
106,31364517,COLEGIO GENOMA,Minas Gerais,Timóteo,Privada,Urbana,20,642.6,591.06,606.17,720.93,899,691.95
107,31258393,ESCOLA SESI ORLANDO CHIARINI,Minas Gerais,Pouso Alegre,Privada,Urbana,26,602.12,603.42,610.52,735.25,906.15,691.49
108,32078498,IFES - CAMPUS VILA VELHA,Espirito Santo,Vila Velha,Federal,Urbana,32,645.04,627.44,607.73,741.99,835,691.44
109,33142726,COL ISRAELITA BRAS A LIESSIN SCHOLEM ALEICHEM,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,20,635.31,574.5,608.13,752.67,885,691.12
110,31293687,COLEGIO MARISTA - VARGINHA,Minas Gerais,Varginha,Privada,Urbana,46,642.39,608.57,605.37,711.25,887.83,691.08
111,31230669,COL OBJETIVO DE S S PARAISO NHN,Minas Gerais,São Sebastião do Paraíso,Privada,Urbana,24,615.53,592.76,596.32,721.56,928.33,690.9
112,35153163,PENTAGONO COLEGIO UNIDADE ALPHAVILLE,São Paulo,Santana de Parnaíba,Privada,Urbana,19,631.55,604.51,613.38,770.14,834.74,690.86
113,24057134,COLEGIO MARISTA DE NATAL,Rio Grande do Norte,Natal,Privada,Urbana,113,630.86,602.05,607.45,741.03,872.57,690.79
114,28032322,CENTRO DE EXCELENCIA MASTER,Sergipe,Aracaju,Privada,Urbana,136,641.03,606.24,614.04,729.27,863.24,690.76
115,35113943,JOHN KENNEDY COLEGIO,São Paulo,Pirassununga,Privada,Urbana,14,623.79,614.86,601.49,743.37,870,690.7
116,43123988,COLEGIO RIACHUELO,Rio Grande do Sul,Santa Maria,Privada,Urbana,39,628.14,602.13,598.32,743.01,880.51,690.42
117,35150022,MONTEIRO LOBATO COLEGIO,São Paulo,Mogi Guaçu,Privada,Urbana,21,626.19,607.72,602.36,753.9,861.9,690.41
118,35112689,COMUNITARIA DE CAMPINAS ESCOLA,São Paulo,Campinas,Privada,Urbana,36,647.26,603.2,609.76,763.47,828.33,690.41
119,31268631,CEFET-MG - UNED DIVINOPOLIS,Minas Gerais,Divinópolis,Federal,Urbana,94,623.42,598.79,603.95,732.8,891.28,690.05
120,31004278,ESTA - ESCOLA STO TOMAS DE AQUINO,Minas Gerais,Belo Horizonte,Privada,Urbana,32,633.86,598.1,609.02,734.06,875,690.01
121,33031371,COL DOM BOSCO,Rio de Janeiro,Resende,Privada,Urbana,34,632.46,599.97,605.48,713.29,898.82,690
122,33148376,ESCOLA PARQUE - BARRA,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,80,625.9,598.19,605.12,746.06,874.5,689.96
123,35170331,SAO CARLOS INSTITUTO EDUCACAO DE ENSINO FUNDAMENTAL E MEDIO,São Paulo,São Carlos,Privada,Urbana,14,633.79,619.45,600.02,713.5,881.43,689.64
124,35155664,CIDADE DE ATIBAIA COLEGIO,São Paulo,Atibaia,Privada,Urbana,29,623.49,609.95,607.92,752.52,852.41,689.26
125,31268259,SESI CAT OTONI A DA COSTA UNID II,Minas Gerais,Sete Lagoas,Privada,Urbana,29,623.66,600.42,615.03,726.39,880,689.1
126,31193097,COLEGIO SAO FRANCISCO XAVIER - CARIRU,Minas Gerais,Ipatinga,Privada,Urbana,76,633.04,605.38,595.96,728.71,882.11,689.04
127,35136050,LEONARDO DA VINCI COLEGIO DE ENSINO FUNDAMENTAL E MEDIO,São Paulo,Jundiaí,Privada,Urbana,66,628.18,618.27,599.96,733.09,865.15,688.93
128,51067471,PPE - PRINA PITT ESCOLA,Mato Grosso,Sinop,Privada,Urbana,27,643.43,598.64,593.34,743.59,865.19,688.84
129,31062201,COLEGIO SAO JOSE,Minas Gerais,Pouso Alegre,Privada,Urbana,37,616.59,608.05,604.26,743.21,871.89,688.8
130,35103421,LICEU DE ARTES E OFICIOS DE SAO PAULO,São Paulo,São Paulo,Privada,Urbana,136,634.86,600.39,612.12,744.73,851.47,688.72
131,33063311,COL ANDREWS,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,22,637.43,582.32,618.02,739.45,865.45,688.53
132,33110034,CENTRO EDUCACIONAL ESPACO INTEGRADO,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,47,654.61,594.77,615.19,727.91,849.79,688.45
133,31205265,INST PRESBITERIANO GAMMON,Minas Gerais,Lavras,Privada,Urbana,43,613.17,591.43,602.54,731.26,902.79,688.24
134,33147450,COLEGIO ANGLO AMERICANO,Rio de Janeiro,Volta Redonda,Privada,Urbana,19,623.62,596.21,619.97,720.18,881.05,688.21
135,52033848,COLEGIO SANTO AGOSTINHO,Goiás,Goiânia,Privada,Urbana,71,616.03,601.05,603.58,733.5,886.48,688.13
136,31354848,COLEGIO LOSANGO DE LAVRAS,Minas Gerais,Lavras,Privada,Urbana,36,621.11,604.49,599.96,715.68,898.89,688.02
137,35142967,TERMOMECANICA COLEGIO,São Paulo,São Bernardo do Campo,Privada,Urbana,134,643.42,598.3,618.3,747.96,832.09,688.01
138,35175572,POLIEDRO COLEGIO,São Paulo,São José dos Campos,Privada,Urbana,274,635.04,614.03,606.88,735.26,848.1,687.86
139,42091403,COLEGIO BOM JESUS DIVINA PROVIDENCIA,Santa Catarina,Jaraguá do Sul,Privada,Urbana,36,609.11,614.16,602.48,723.32,889.44,687.7
140,31318426,COLEGIO OLIMPO,Minas Gerais,Uberlândia,Privada,Urbana,56,637.76,599.14,605,725.6,870.36,687.57
141,35561320,ALPHA LUMEN INSTITUTO,São Paulo,São José dos Campos,Privada,Urbana,20,633.15,608.16,612.44,746.06,838,687.56
142,31317101,COLEGIO APOGEU DE ENSINO FUNDAMENTAL E ENSINO MEDIO,Minas Gerais,Juiz de Fora,Privada,Urbana,51,627.5,605.89,599.88,714.15,890.2,687.52
143,33038716,ESCOLA DO CENTRO DE ESTUDOS E PESQ EDUCACIONAIS,Rio de Janeiro,Miguel Pereira,Privada,Urbana,10,628.14,598.02,599.68,733.08,878,687.38
144,35137133,PENTAGONO COLEGIO UNIDADE MORUMBI,São Paulo,São Paulo,Privada,Urbana,38,639.91,588.07,606.82,730.57,871.05,687.28
145,52033210,COLEGIO AGOSTINIANO NS DE FATIMA,Goiás,Goiânia,Privada,Urbana,57,625.23,612.73,603.55,727.39,865.96,686.97
146,33140863,COLEGIO ISRAELITA BRASILEIRO A LIESSIN SCHOLEM ALEICHEM,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,23,619.78,595.59,599.79,744.39,874.78,686.87
147,29422272,CENTRO EDUCACIONAL VILLA LOBOS,Bahia,Salvador,Privada,Urbana,29,619.29,606.49,600.67,728.14,879.31,686.78
148,52099946,COLEGIO PROTAGORAS BUENO,Goiás,Goiânia,Privada,Urbana,75,620.37,612.92,600.07,713.47,886.67,686.7
149,31343668,COLEGIO CIDADE DE BOM DESPACHO,Minas Gerais,Bom Despacho,Privada,Urbana,11,617.62,614.65,607.54,731.85,861.82,686.69
150,43139108,UNIDADE DE ENSINO COLEGIO SINODAL - SAO LEOPOLDO,Rio Grande do Sul,São Leopoldo,Privada,Urbana,57,642.77,608.63,614.02,764.48,801.4,686.26
151,52086615,COLEGIO JAO LTDA,Goiás,Goiânia,Privada,Urbana,53,626.88,607.39,601.55,726.91,866.42,685.83
152,33180385,COLEGIO PH,Rio de Janeiro,Niterói,Privada,Urbana,133,627.71,588.16,604.45,714.81,893.98,685.82
153,31170534,COLEGIO PIRLIMPIMPIM SAO PASCHOALL,Minas Gerais,Uberlândia,Privada,Urbana,39,621.81,613.31,599.92,721.77,870.77,685.51
154,31005037,COLEGIO BATISTA MINEIRO,Minas Gerais,Belo Horizonte,Privada,Urbana,111,634.46,606.23,605.89,725.12,855.68,685.48
155,29182646,COLEGIO SAO PAULO,Bahia,Salvador,Privada,Urbana,73,634.98,607.7,611.88,732.09,840.55,685.44
156,43104975,CENT ENS MEDIO FARROUPILHA,Rio Grande do Sul,Porto Alegre,Privada,Urbana,82,634.69,607.53,605.5,754.19,825.12,685.41
157,31014630,ESCOLA PREPARATORIA DE CADETES DO AR,Minas Gerais,Barbacena,Federal,Urbana,77,635.21,602.11,610.65,786.46,790.65,685.01
158,31313068,ESCOLA SESI CAT DARIO GONCALVES DE SOUZA,Minas Gerais,Itaúna,Privada,Urbana,32,625.51,583.1,597.38,732.25,886.25,684.9
159,33063729,COLEGIO SANTO INACIO,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,157,637.22,596.92,605.82,729.88,853.63,684.7
160,31007196,COLEGIO SANTA DOROTEIA,Minas Gerais,Belo Horizonte,Privada,Urbana,74,638.94,598.8,611.84,735.11,838.11,684.56
161,15567770,CENTRO DE ESTUDOS JOHN KNOX,Pará,Belém,Privada,Urbana,37,628.62,591.8,597.78,726.21,878.38,684.56
162,35132287,POLIEDRO COLEGIO,São Paulo,São Paulo,Privada,Urbana,131,631.75,608.46,604.06,730.61,846.72,684.32
163,35117547,CRIATIVO COLEGIO,São Paulo,Marília,Privada,Urbana,45,618.96,608.7,593.88,717.33,882.67,684.31
164,35449003,FAAP RIBEIRAO PRETO COLEGIO,São Paulo,Ribeirão Preto,Privada,Urbana,109,640.96,615.35,608.13,746.38,810.28,684.22
165,35448205,KELVIN COLEGIO,São Paulo,São José do Rio Preto,Privada,Urbana,48,629.45,615.53,608.11,740.89,827.08,684.21
166,43361340,COLEGIO TIRADENTES IJUI,Rio Grande do Sul,Ijuí,Estadual,Urbana,37,642.93,619.71,612.27,740.99,804.32,684.05
167,33085897,ESC MODELAR CAMBAUBA,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,36,627.57,597.44,607.56,713.49,873.33,683.88
168,33075425,COL PENTAGONO,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,44,627.42,587.62,604.57,714.05,885.45,683.82
169,31004359,COLEGIO ESPANHOL SANTA MARIA CIDADE NOVA,Minas Gerais,Belo Horizonte,Privada,Urbana,28,641.06,591.94,607.19,731.06,847.86,683.82
170,26119730,ESCOLA DE APLICACAO DO RECIFE,Pernambuco,Recife,Estadual,Urbana,32,615.11,604.14,607.23,762.27,829.38,683.63
171,31053953,COL IBITURUNA,Minas Gerais,Governador Valadares,Privada,Urbana,52,625.65,590.12,607.43,723.23,871.54,683.6
172,43119930,COLEGIO MAUA,Rio Grande do Sul,Santa Cruz do Sul,Privada,Urbana,60,620.16,613.09,604.52,725.95,854,683.54
173,23067071,COLEGIO CHRISTUS BARAO DE STUDART,Ceará,Fortaleza,Privada,Urbana,85,627.21,615.76,602.2,742.12,830.12,683.48
174,31006157,COLEGIO LOGOSOFICO GONZALEZ PECOTCHE,Minas Gerais,Belo Horizonte,Privada,Urbana,21,626.74,601.94,610.42,734.36,841.9,683.07
175,23071036,COLEGIO ARI DE SA CAVALCANTE WASHINGTON SOARES,Ceará,Fortaleza,Privada,Urbana,142,625.09,600.09,605.12,735.51,848.73,682.91
176,31371971,COLEGIO OMEGA,Minas Gerais,Viçosa,Privada,Urbana,14,614.46,608.6,596.55,728.97,865.71,682.86
177,33161291,CEMP ENSINO MEDIO LTDA,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,26,623.18,602.02,602.15,711.95,874.62,682.78
178,41148851,UNIVERSIDADE FEDERAL DO PARANA - SEPT,Paraná,Curitiba,Federal,Urbana,24,640.2,639.08,610.36,761.2,762.5,682.67
179,43028250,COLEGIO SINODAL BARAO DO RIO BRANCO,Rio Grande do Sul,Cachoeira do Sul,Privada,Urbana,11,649.39,604.46,608.47,745.39,805.45,682.63
180,33042578,COLEGIO SAO PAULO,Rio de Janeiro,Teresópolis,Privada,Urbana,40,636.78,593.81,607.22,725.21,850,682.6
181,31128031,COLEGIO SETE DE SETEMBRO,Minas Gerais,Poços de Caldas,Privada,Urbana,45,622.36,607.41,603.35,731.39,848.44,682.59
